profile_id,country,experience
1,Romania,"Senior LMS Technical Consultant Oracle Full-timeOracle Full-time
Jan 2019 - Present · 7 yrs 2 mosJan 2019 to Present · 7 yrs 2 mos
Bucharest, Romania · Hybrid Senior Technical Support Engineer Oracle Romania May 2017 - Present · 8 yrs 10 mos
Bucuresti Testing Analyst TEAMNET INTERNATIONAL SATEAMNET INTERNATIONAL SA Apr 2015 - Present · 10 yrs 11 mos, Bucharest, Romania Technical reviewer Teamnet InternationalTeamnet International Mar 2014 - Mar 2015 · 1 yr 1 mo
Bucharest, Romania Senior Accounting Technician Ciel RomaniaCiel Romania Mar 2005 - Feb 2014 · 9 yrs
Bucharest, Romania Inginer proiectant I.N.M.A.I.N.M.A. Sep 2003 - Mar 2005 · 1 yr 7 mosSep 2003 to Mar 2005 · 1 yr 7 mos ""bucu"
2,romania,"Service Operations Expert
Service Operations Expert
Orange · Full-timeOrange · Full-time
Jul 2023 - Present · 2 yrs 8 mosJul 2023 to Present · 2 yrs 8 mos
Bucharest, Romania · Hybrid Core Network Engineer
Core Network Engineer
Orange
Services · Full-timeOrange Services · Full-time
Apr 2017 - Jul 2023 · 6 yrs 4 mosApr 2017 to Jul 2023 · 6 yrs 4 mos
Bucharest, Romania Network Supervision Engineer
Network Supervision Engineer
Orange
Romania · Full-timeOrange Romania · Full-time
2013 - Mar 2017 · 4 yrs 3 mos2013 to Mar 2017 · 4 yrs 3 mos ""Bucharest, Romania"
3,sweden,"Software Engineer"" Software Engineer Flightloop · Full-timeFlightloop · Full-time
Dec 2024 - Present · 1 yr 3 mos
Software Developer
Software Developer
ScorebuzzerScorebuzzer Jul 2023 - Nov 2024 · 1 yr 5 mosJul 2023 to Nov 2024 · 1 yr 5 mos
Remote Software Engineer Internship Software Engineer Internship iLabs · Full-timeiLabs · Full-time
Dec 2022 - Jun 2023 · 7 mosDec 2022 to Jun 2023 · 7 mos ""Battaramulla, Western Province, Sri Lanka · On-siteBattaramulla, Western Province, Sri Lanka · On-site"
4,sweden,"Master Thesis Researcher"" Master Thesis Researcher Deep Forestry · Part-timeDeep Forestry · Part-time
Jan 2026 - Present · 2 mosJan 2026 to Present · 2 mos
Uppsala, Uppsala County, Sweden · Hybrid Co-founder and Chief Innovation Officer Tree++ (Tree Plus Plus)Tree++ (Tree Plus Plus) Oct 2024 - Present · 1 yr 5 mosOct 2024 to Present · 1 yr 5 mos
Estocolmo, Município de Stockholm, Suécia BRB - Bank of Brasília Full-time · 11 yrs 3 mosFull-time · 11 yrs 3 mos IT Analyst and DevOps Engineer IT Analyst and DevOps Engineer Dec 2014 - Present · 11 yrs 3 mosDec 2014 to Present · 11 yrs 3 mos
Brasília, Distrito Federal, Brazil BRB - Bank of Brasília Full-time · 11 yrs 3 mosFull-time · 11 yrs 3 mos IT Analyst and DevOps Engineer IT Analyst and DevOps Engineer Dec 2014 - Present · 11 yrs 3 mosDec 2014 to Present · 11 yrs 3 mos
Brasília, Distrito Federal, BrazilBrasília, Distrito Federal, Brazil IT Manager May 2016 - Jul 2024 · 8 yrs 3 mosMay 2016 to Jul 2024 · 8 yrs 3 mos
Brasília, Federal District, Brazil · On-site Student Ambassador Drivhuset StockholmDrivhuset Stockholm Jul 2025 - Present · 8 mosJul 2025 to Present · 8 mos
Stockholm, Stockholm County, Sweden SU Heroes - Hackathon Team logo Team Leader SU Heroes - Hackathon TeamSU Heroes - Hackathon Team Nov 2024 - Present · 1 yr 4 mosNov 2024 to Present · 1 yr 4 mos
Stockholm, Stockholm County, Sweden Marketing Communications Manager Alla Ska Få MatAlla Ska Få Mat Oct 2024 - Present · 1 yr 5 mosOct 2024 to Present · 1 yr 5 mos
Stockholm, Stockholm County, Sweden Research Engineer LabRiskLabRisk Aug 2024 - Present · 1 yr 7 mosAug 2024 to Present · 1 yr 7 mos
Brasília, Federal District, Brazil Marketing Communications Manager DevOpsDays BrasíliaDevOpsDays Brasília Feb 2024 - Present · 2 yrs 1 moFeb 2024 to Present · 2 yrs 1 mo
Brasília, Federal District, Brazil Teaching Assistant Stockholm UniversityStockholm University Oct 2025 - Jan 2026 · 4 mosOct 2025 to Jan 2026 · 4 mos
Stockholm, Stockholm County, Sweden Research Engineer IBICT - Brazilian Institute of Information in Science and Technology · Part-timeIBICT - Brazilian Institute of Information in Science and Technology · Part-time
Apr 2022 - Sep 2022 · 6 mosApr 2022 to Sep 2022 · 6 mos
Brasília, Distrito Federal, Brazil · Remote Ministério do Desenvolvimento Regional logo Software Engineer
Software Engineer
Ministério da Integração e do Desenvolvimento Regional · Full-timeMinistério da Integração e do Desenvolvimento Regional · Full-time
Feb 2014 - Nov 2014 · 10 mosFeb 2014 to Nov 2014 · 10 mos
Brasília, Distrito Federal, Brazil · On-siteBrasília, Distrito Federal, Brazil · On-site SENAI/DF - Serviço Nacional de Aprendizagem Industrial SENAI/DF - Serviço Nacional de Aprendizagem Industrial 2 yrs 4 mos2 yrs 4 mos
Brasília, Distrito Federal, Brazil · On-sit SENAI/DF - Serviço Nacional de Aprendizagem Industrial SENAI/DF - Serviço Nacional de Aprendizagem Industrial 2 yrs 4 mos2 yrs 4 mos
Brasília, Distrito Federal, Brazil · On-siteBrasília, Distrito Federal, Brazil · On-site Web Developer and Designer Web Developer and Designer Full-timeFull-time
May 2011 - Nov 2012 · 1 yr 7 mosMay 2011 to Nov 2012 · 1 yr 7 mos
Internship ""Aug 2010 - May 2011 · 10 mos"
5,sweden,"Founding Product Designer"" UI BakeryUI Bakery Jul 2019 - Present · 6 yrs 8 mosJul 2019 to Present · 6 yrs 8 mos
Low-code and Webflow developer Self-EmployedSelf-Employed Aug 2022 - Nov 2025 · 3 yrs 4 mosAug 2022 to Nov 2025 · 3 yrs 4 mos
Remote Akveo 4 yrs
Product Designer Jul 2019 - Jan 2022 · 2 yrs 7 mosJul 2019 to Jan 2022 · 2 yrs 7 mos
Senior UX/UI Designer Feb 2018 - Sep 2019 · 1 yr 8 mosFeb 2018 to Sep 2019 · 1 yr 8 mos UX/UI Designer EffectiveSoft CorporationEffectiveSoft Corporation Apr 2016 - Feb 2018 · 1 yr 11 mos web-designer freelancefreelance""Jan 2015 - Apr 2016 · 1 yr 4 mos"